Employee_Id,Full_Name,Gender,Age,Gender,Education_Level,Hire_Date,Exit_Date,Department,Job_Role,Job_Level,Employment_Type,Base_Salary_Annual,Store_Location,Store_Location_Latitude,Store_Location_Longitude,Store_Id,Manager_Id,Manager_Name,Manager_Status
EMP000087,Robert Potter,Male,35,,Bachelor's,01/02/2021,08/06/2022,Store Operations,Cashier,Entry,Part-time,17577.64,Denver,39.7392,-104.9903,STR148,EMP001305,Tina Walter,Senior Manager
EMP000088,Courtney Gonzalez,Female,33,,Bachelor's,21/04/2019,,Store Operations,Sales Associate,Associate,Full-time,35650.69,Houston,29.7604,-95.3698,STR014,EMP002827,Amanda Wright,Manager
EMP000089,David Alvarez,Male,21,,Bachelor's,08/11/2021,17/06/2023,Store Operations,Cashier,Entry,Full-time,30872.13,Houston,29.7604,-95.3698,STR058,EMP001131,Michelle Walls,Executive
EMP000090,Angel Perry,Female,43,,High School,08/09/2020,,Store Operations,Cashier,Entry,Full-time,26722.15,Denver,39.7392,-104.9903,STR084,EMP002456,Jennifer Moore,Executive
EMP000091,Cheyenne Horton,Female,21,,Master's,26/02/2021,,Store Operations,Cashier,Entry,Full-time,23195.94,San Diego,32.7157,-117.1611,STR012,EMP000529,Melissa Bishop,Senior Manager
EMP000092,David Douglas Jr.,Male,26,,Bachelor's,03/07/2021,,Store Operations,Cashier,Entry,Part-time,17479.47,Memphis,35.1495,-90.049,STR131,EMP001823,Nicholas Fitzgerald,Senior Manager
EMP000093,Patricia Rodriguez,Female,41,,Some College,25/07/2020,,Store Operations,Sales Associate,Associate,Full-time,37129.42,Los Angeles,34.0522,-118.2437,STR063,EMP002436,Miranda Murray,Senior Manager
EMP000094,Christopher Rubio,Male,34,,Some College,10/03/2021,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,43419.16,Austin,30.2672,-97.7431,STR082,EMP002684,David James,Senior Manager
EMP000095,Amber Wright,Female,33,,PhD,30/11/2021,,Store Operations,Cashier,Entry,Full-time,29709.67,New York,40.7128,-74.006,STR080,EMP002712,Scott Meza,Senior Manager
EMP000096,Joyce Solis,Female,34,,Bachelor's,25/12/2021,,Store Operations,Sales Associate,Associate,Full-time,33925.55,Los Angeles,34.0522,-118.2437,STR077,EMP000053,Rebecca Valencia,Manager
EMP000097,Victoria Larson,Female,39,,Master's,25/03/2018,,Store Operations,Cashier,Entry,Full-time,27227.33,San Antonio,29.4241,-98.4936,STR123,EMP002827,Amanda Wright,Manager
EMP000098,Stephanie Salazar,Female,23,,Bachelor's,23/03/2021,,Store Operations,Cashier,Entry,Part-time,15765.25,Austin,30.2672,-97.7431,STR062,EMP000121,Jamie Walton,Manager
EMP000099,Kathy Rivas,Male,42,,Bachelor's,07/09/2020,,Store Operations,Sales Associate,Associate,Full-time,28305.03,Fort Worth,32.7555,-97.3308,STR012,EMP000240,Briana Murray,Manager
EMP000100,Stephanie Manning,Female,32,,High School,16/02/2021,,Store Operations,Cashier,Entry,Part-time,13847.35,Boston,42.3601,-71.0589,STR032,EMP000520,Michael Johnson,Manager
EMP000101,David Wright,Male,36,,High School,07/07/2020,31/10/2024,Store Operations,Sales Associate,Associate,Part-time,17026.29,Memphis,35.1495,-90.049,STR097,EMP000767,Tamara Riddle,Manager
EMP000102,Pamela Boyd,Female,21,,Some College,27/01/2021,10/10/2022,Store Operations,Sales Associate,Associate,Full-time,35636.92,Houston,29.7604,-95.3698,STR096,EMP002456,Jennifer Moore,Executive
EMP000103,Denise Jones,Female,29,,Bachelor's,17/04/2021,,Store Operations,Sales Associate,Associate,Full-time,31772.27,Chicago,41.8781,-87.6298,STR018,EMP001026,Brandon Kelly,Manager
EMP000104,Devon Flores,Male,39,,Bachelor's,12/11/2020,,Store Operations,Cashier,Entry,Seasonal,10834.28,Las Vegas,36.1699,-115.1398,STR069,EMP001224,Raymond Quinn,Manager
EMP000105,Brenda Hall,Female,37,,Bachelor's,10/01/2021,,Store Operations,Cashier,Entry,Part-time,18645.4,New York,40.7128,-74.006,STR028,EMP001447,Sonya Jackson,Manager
EMP000106,Michelle Brown,Female,21,,Bachelor's,11/09/2021,,Store Operations,Sales Associate,Associate,Full-time,30991.51,San Jose,37.3382,-121.8863,STR118,EMP001680,Zachary Santiago,Manager
EMP000107,Joshua Perry,Female,30,,High School,23/01/2020,,Store Operations,Cashier,Entry,Full-time,26103.83,Jacksonville,30.3322,-81.6557,STR121,EMP002436,Miranda Murray,Senior Manager
EMP000108,Jason Stein,Male,25,,Some College,06/12/2017,19/10/2021,Store Operations,Cashier,Entry,Part-time,17733.31,Baltimore,39.2904,-76.6122,STR148,EMP001305,Tina Walter,Senior Manager
EMP000109,Melissa Gates,Female,21,,Bachelor's,27/07/2021,,Store Operations,Sales Associate,Associate,Full-time,30745.58,Austin,30.2672,-97.7431,STR020,EMP002163,Mr. William Ward,Manager
EMP000110,Jamie Smith,Male,36,,Some College,23/02/2021,03/07/2022,Store Operations,Cashier,Entry,Full-time,22769.8,Seattle,47.6062,-122.3321,STR038,EMP002493,Eric Williams,Manager
EMP000111,Paul Castaneda,Male,25,,High School,19/07/2021,,Store Operations,Sales Associate,Associate,Part-time,18886.21,Austin,30.2672,-97.7431,STR034,EMP001131,Michelle Walls,Executive
EMP000112,Jennifer Adkins,Male,36,,Bachelor's,30/06/2020,,Store Operations,Cashier,Entry,Part-time,14167.33,New York,40.7128,-74.006,STR072,EMP000529,Melissa Bishop,Senior Manager
EMP000113,Lindsey Walker,Male,24,,Master's,12/09/2019,,Store Operations,Cashier,Entry,Full-time,31296.98,Seattle,47.6062,-122.3321,STR063,EMP001823,Nicholas Fitzgerald,Senior Manager
EMP000114,Jeffrey Johnson,Male,44,,Bachelor's,18/10/2021,,Store Operations,Sales Associate,Associate,Part-time,22618.47,Boston,42.3601,-71.0589,STR132,EMP002585,Kara Rogers,Senior Manager
EMP000115,Michael Powell,Male,38,,Some College,21/12/2020,,Store Operations,Cashier,Entry,Full-time,28334.04,Louisville,38.2527,-85.7585,STR143,EMP002684,David James,Senior Manager
EMP000116,John Anderson,Male,28,,Master's,10/04/2020,,Store Operations,Cashier,Entry,Full-time,30714.61,Dallas,32.7767,-96.797,STR110,EMP002712,Scott Meza,Senior Manager
EMP000117,Alyssa Long,Female,32,,High School,29/07/2020,,Store Operations,Cashier,Entry,Full-time,30036.72,Charlotte,35.2271,-80.8431,STR048,EMP000053,Rebecca Valencia,Manager
EMP000118,Alyssa Day,Female,41,,Bachelor's,04/04/2020,,Store Operations,Sales Associate,Associate,Full-time,30238.84,Charlotte,35.2271,-80.8431,STR107,EMP000121,Jamie Walton,Manager
EMP000119,Joel Williams,Male,29,,Some College,08/10/2021,27/02/2024,Store Operations,Sales Associate,Associate,Full-time,38710.71,Los Angeles,34.0522,-118.2437,STR035,EMP000240,Briana Murray,Manager
EMP000120,Daniel Murphy,Male,36,,Bachelor's,01/11/2020,,Store Operations,Cashier,Entry,Full-time,27393.42,Memphis,35.1495,-90.049,STR039,EMP000520,Michael Johnson,Manager
EMP000121,Jamie Walton,Male,27,,Master's,19/04/2018,,Store Operations,Store Manager,Manager,Full-time,79223.2,Dallas,32.7767,-96.797,STR119,EMP002712,Scott Meza,Senior Manager
EMP000122,Darlene Miller,Male,31,,Master's,22/09/2019,,Store Operations,Cashier,Entry,Seasonal,12384.37,Boston,42.3601,-71.0589,STR049,EMP000767,Tamara Riddle,Manager
EMP000123,Joshua Cooke,Female,37,,Some College,16/05/2018,,Store Operations,Cashier,Entry,Full-time,25180.03,Detroit,42.3314,-83.0458,STR049,EMP001026,Brandon Kelly,Manager
EMP000124,Matthew Harrington,Male,38,,Some College,28/07/2021,,Store Operations,Sales Associate,Associate,Full-time,29320.62,Louisville,38.2527,-85.7585,STR138,EMP001224,Raymond Quinn,Manager
EMP000125,Nicole Herring,Male,25,,High School,11/10/2020,15/08/2024,Store Operations,Sales Associate,Associate,Contractor,33808.74,Fort Worth,32.7555,-97.3308,STR019,EMP001447,Sonya Jackson,Manager
EMP000126,Alex Hernandez,Male,44,,High School,22/10/2021,01/08/2023,Store Operations,Cashier,Entry,Full-time,26271.08,Los Angeles,34.0522,-118.2437,STR070,EMP001680,Zachary Santiago,Manager
EMP000127,Michael Elliott,Male,32,,Some College,23/04/2021,,Store Operations,Sales Associate,Associate,Full-time,37816.18,Los Angeles,34.0522,-118.2437,STR086,EMP002163,Mr. William Ward,Manager
EMP000128,Michael Wang,Male,36,,Master's,04/01/2012,,Store Operations,Cashier,Entry,Full-time,30607.31,Detroit,42.3314,-83.0458,STR077,EMP002493,Eric Williams,Manager
EMP000129,Lawrence Adkins,Male,33,,Some College,29/11/2018,18/01/2020,Store Operations,Sales Associate,Associate,Contractor,30891.77,Phoenix,33.4484,-112.074,STR030,EMP002827,Amanda Wright,Manager
EMP000130,Robert Oconnell,Male,26,,Some College,19/10/2018,,Store Operations,Sales Associate,Associate,Full-time,34128.97,Philadelphia,39.9526,-75.1652,STR032,EMP001131,Michelle Walls,Executive
EMP000131,Alexander Collins,Male,26,,Bachelor's,14/12/2020,,Store Operations,Cashier,Entry,Full-time,26174.11,Charlotte,35.2271,-80.8431,STR055,EMP002456,Jennifer Moore,Executive
EMP000132,Tina Sanders,Female,25,,Some College,29/10/2017,,Store Operations,Cashier,Entry,Full-time,24221.08,Columbus,39.9612,-82.9988,STR035,EMP000529,Melissa Bishop,Senior Manager
EMP000133,Angela Vaughn,Female,25,,High School,26/10/2021,,Store Operations,Sales Associate,Associate,Full-time,29438.38,Los Angeles,34.0522,-118.2437,STR020,EMP001823,Nicholas Fitzgerald,Senior Manager
EMP000134,Ashley Barton,Female,42,,Bachelor's,31/08/2017,,Store Operations,Sales Associate,Associate,Full-time,32051.38,Philadelphia,39.9526,-75.1652,STR125,EMP002436,Miranda Murray,Senior Manager
EMP000135,Lindsay Martinez,Male,26,,Bachelor's,12/12/2021,,Store Operations,Sales Associate,Associate,Full-time,39314.92,Columbus,39.9612,-82.9988,STR128,EMP002585,Kara Rogers,Senior Manager
EMP000136,Dr. Hannah Patterson,Male,29,,High School,16/04/2021,,Store Operations,Cashier,Entry,Full-time,25232.03,San Jose,37.3382,-121.8863,STR031,EMP002684,David James,Senior Manager
